metro,corridor_id,legacy_corridor_id,corridor_name,district,level,object_form,form,character,dominant_audience,gateway_dependency,neighborhood_momentum,timing_alpha,safety_day,safety_evening,safety_late_night,weekday_am,weekday_midday,weekday_evening,late_night,weekend_day,path_of_travel_friction,transit_car_orientation,halo_strength,chain_dominance,cafe_whitespace,qsr_whitespace,fast_casual_whitespace,fitness_whitespace,beauty_wellness_whitespace,grocery_convenience_whitespace,shock_resilience,seasonality_amplitude,event_dependency,development_dependency,office_routine,hybrid_remote,family_household,morning_commuters,car_errands,weekend_brunch,young_social_cohort
Dallas–Fort Worth,04806BCD402F,dfw.mckinney,McKinney–Historic Downtown,Collin County,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,"The metro's best-preserved historic square as the living room of one of America's fastest-growing family suburbs, with destination weekend dining on Tennessee and Virginia.","RESIDENTS, TOURISTS, SHOPPERS",MODERATE,65,58,82,78,68,55,62,72,25,85,42,8,65,35,40,50,50,50,50,45,68,20,20,55,4,5,8,4,8,7,6
Dallas–Fort Worth,04C97C1C31A5,dfw.deep_ellum,Deep Ellum,Dallas Core,MACRO,MULTI_SPINE_DISTRICT,COMPACT_WALKABLE,"Music-and-murals entertainment grid on the Elm and Commerce spines, running the metro's latest nights over a converting warehouse stock.","NIGHTLIFE, RESIDENTS, TOURISTS",LOW,68,35,62,52,40,35,55,80,78,75,25,42,75,25,25,30,35,45,40,35,55,25,40,55,3,6,2,3,3,7,8
Dallas–Fort Worth,0D3B0A18EAC9,dfw.the_colony_grandscape,The Colony–Grandscape,Denton County,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"121 mega-retail node built around Nebraska Furniture Mart's Grandscape, pulling metro-wide weekend traffic over a lakeside golf-community residential base.","SHOPPERS, TOURISTS, RESIDENTS",HIGH,65,42,80,75,65,40,65,75,35,75,45,5,75,80,35,20,25,40,45,35,60,30,50,65,3,4,8,4,9,6,5
Dallas–Fort Worth,0E97EA7325C0,dfw.little_elm,Little Elm,Denton County,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Lakeside boomtown whose new rooftops outrun the road network, with the city-built Lakefront district as its social anchor.","RESIDENTS, SHOPPERS",HIGH,75,65,80,76,68,55,55,65,12,70,55,5,35,85,70,55,65,60,60,50,60,25,15,70,2,5,8,6,9,6,4
Dallas–Fort Worth,11AFCE7A21BD,dfw.south_dallas,South Dallas–Martin Luther King,Dallas East-South,MACRO,LINEAR_SPINE,STANDARD_URBAN,"The historic Black main street of Dallas on the MLK spine, with freedmen's-town roots at Joppa, strong church-and-community institutions and thin national-brand supply.","RESIDENTS, COMMUTERS",LOW,55,65,56,48,40,50,55,48,15,62,32,20,20,50,68,50,66,64,60,68,55,15,25,55,2,3,6,5,7,5,3
Dallas–Fort Worth,131DB6D363DA,dfw.east_fort_worth,East Fort Worth–Woodhaven,Tarrant East,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Stable working-family east-side grid running from Texas Wesleyan to the Woodhaven edge at the Arlington line, with the Eastchase power center as its retail anchor.","RESIDENTS, COMMUTERS, SHOPPERS",LOW,48,65,62,55,46,55,50,58,15,62,38,12,30,80,65,40,58,55,55,50,68,15,10,25,3,4,7,5,8,4,3
Dallas–Fort Worth,1344326E94D9,dfw.keller,Keller–Old Town Keller,Alliance-North FW,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,Affluent small-town suburb whose Old Town main street and top-rated schools anchor family dining and indie retail inside a chain strip landscape.,"RESIDENTS, SHOPPERS, COMMUTERS",LOW,58,42,88,85,78,55,55,62,12,68,42,8,48,45,52,40,48,50,55,40,72,15,8,35,3,6,9,7,9,7,4
Dallas–Fort Worth,14C4AB7A2CB4,dfw.burleson,Burleson–Old Town,Southern,MACRO,MULTI_SPINE_DISTRICT,EXTENDED_CAR_ORIENTED,Fast-growing southwest family suburb where Old Town's heritage square anchors identity while new rooftops spread along SH-174 and I-35W.,"RESIDENTS, COMMUTERS, SHOPPERS",MODERATE,68,66,78,70,60,55,58,62,15,68,45,4,45,82,70,55,65,62,65,50,62,18,12,55,3,5,8,7,9,6,5
Dallas–Fort Worth,19F282EAEC56,dfw.lakewood_casa_linda,Lakewood–Casa Linda,Dallas North,MACRO,MULTI_SPINE_DISTRICT,EXTENDED_CAR_ORIENTED,Affluent eastside neighborhoods orbiting two legacy retail plazas on the east side of White Rock Lake.,"RESIDENTS, SHOPPERS",LOW,58,45,85,80,72,60,55,60,15,70,30,15,55,58,45,45,50,50,50,40,78,20,12,35,2,7,8,4,8,8,3
Dallas–Fort Worth,1CACBED5ED09,dfw.west_fort_worth,West Fort Worth–White Settlement,Fort Worth West,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Working westside value belt on Camp Bowie West and White Settlement Road, anchored by the Lockheed Martin plant and the NAS JRB military payroll.","RESIDENTS, WORKERS",LOW,46,55,65,55,42,55,60,55,12,60,30,8,22,82,60,40,55,55,55,45,70,12,12,35,4,3,7,6,8,4,3
